17000,36104,0
17008,35020,2.5
17009,35216,4
17013,36330,3
17014,35121,3.5
17016,36330,4
17017,35653,0
17018,35906,3.5
17020,36609,3.5
17024,36301,4
17025,36609,3
17026,35244,3.5
17027,35603,4
17028,35068,3
17034,36532,4
17035,36609,3.5
17037,36109,2.5
17039,35801,4
17041,35216,2.5
17048,36340,3.5
17050,35816,3
17051,35209,3
17052,36535,4
17053,36305,4
17054,35235,3.5
17055,36066,4.5
17056,36064,4
17058,36526,3
17063,35213,2.5
17066,36607,3
17067,36106,3.5
17069,36535,3.5
17070,36522,3.5
17071,35650,4
17072,36037,4
17078,35481,3.5
17079,35592,3
17080,35401,3.5
17082,35042,2.5
17084,36701,4.5
17085,35150,3
17086,36726,2.5
17088,35555,3
17089,35058,3.5
17090,36908,3.5
17091,36744,5
17092,35447,3
17093,35968,5
17094,35960,3.5
17095,35611,4
17096,36081,3
17097,36251,3.5
17100,35570,3.5
17101,36925,2
17102,35462,4.5
17103,36732,3.5
17104,35768,3
17106,36401,3.5
17107,35045,4
17109,35565,2
17112,36545,4
17115,35954,4
17116,36092,2.5
17117,36853,3.5
17118,35650,3
17119,35806,3
17121,36420,3.5
17123,36854,3.5
17124,36360,4.5
17125,35582,3
17127,36535,4
17128,35976,4.5
17129,36830,3
17130,36451,4
17132,35121,5
17134,36467,4.5
17135,36078,3
17136,36033,3.5
17138,36037,3
17139,36089,3.5
17140,36049,4.5
17142,36502,2.5
17143,36426,3
17145,35128,3.5
17146,35653,3
17147,36801,2.5
17148,36532,3
17149,35242,3.5
17151,36207,3.5
17152,35150,4.5
17153,35007,3
17154,35173,3.5
17155,36609,3.5
17156,35160,4
17157,36801,3
17158,35967,4
17159,36303,3.5
17160,36854,3.5
17161,35801,4
17163,36460,4.5
17164,36303,3.5
17165,35630,4
17166,35045,3
17167,35125,3.5
17168,36609,3.5
17169,35490,2
17170,35501,3
17171,35055,4
17172,35055,3.5
17174,35903,2
17175,35209,3
17176,35757,2.5
17177,35630,4
17300,35406,3.5
17305,36205,3
17307,36867,3
17319,36109,3.5
17320,36701,4
17323,36461,3
17324,36081,4
17326,35601,4.5
17327,35501,4
17328,36426,4.5
17801,36067,2.5
17803,36016,2.5
17812,36748,2.5
17816,36330,2
17817,35660,4.5
17818,36401,3
17824,36701,3
17825,35967,4
17828,35903,3
17831,36344,4
17835,36302,3
17836,35769,2.5
17847,35570,4
17848,35976,3.5
17850,36460,4
17851,36108,2.5
17856,36274,3
17861,35150,3
17863,35405,4
17865,36518,4
17867,35553,4.5
17872,35592,4
17873,35601,3
17874,35611,3
17875,35055,4
17876,35650,3.5
27001,99508,2
27002,99801,2
27006,99701,3.5
27007,99835,0
27008,99654,2.5
27009,99833,0
27010,99603,1.5
27014,99901,2
27020,99669,2.5
27022,99503,2.5
27024,99508,3.5
27032,99501,2.5
37011,85374,0
37015,85297,3
37016,85711,3
37020,85014,2.5
37024,85251,4
37027,85901,3
37030,86301,3.5
37036,85711,3.5
37037,85032,3.5
37042,86326,3
37047,86001,2.5
37050,86409,3.5
37057,86403,3.5
37068,85022,3.5
37070,85711,3
37099,85635,3.5
37101,85014,2
37106,85020,4
37112,85705,3.5
37114,85541,4.5
37118,85719,0
37125,85712,3.5
37129,85621,3
37130,85704,3.5
37132,85020,3
37133,85205,3.5
37139,86305,3.5
37144,85718,2.5
37146,86442,4
37154,86314,3.5
37162,85032,3.5
37178,86040,0
37179,85603,3
37185,85308,3.5
37188,85027,4.5
37192,85365,3.5
37199,85281,3
37202,85014,3.5
37204,85014,0
37205,85020,0
37206,85719,0
37212,85282,3.5
37213,85715,4
37215,85016,2.5
37216,85020,3
37217,86326,3
37219,85020,2
37220,85250,4
37221,85719,3.5
37224,85016,0
37226,85203,4
37227,85053,3.5
37228,85711,0
37229,85029,0
37230,85203,4
37231,85283,0
37232,85020,4.5
37233,85020,3.5
37234,85018,4.5
37235,85020,2.5
37236,85032,3.5
37237,85210,2.5
37239,85016,5
37240,85209,3.5
37242,85020,0
37243,85016,2.5
37244,85024,4.5
37245,85027,2.5
37246,85029,4
37247,86305,3.5
37248,85719,4
37249,85034,2.5
37250,85225,3.5
37251,85258,3
37252,85122,2.5
37253,85225,2.5
37254,85260,3
37255,85224,3
37256,85718,3.5
37257,85281,2.5
37258,85040,3
37260,85205,4.5
37261,85395,3
37262,85018,3
37263,85122,3
37264,86401,2.5
37265,85021,4.5
37268,85029,0
37269,85364,3
37271,85255,3.5
37272,85260,0
37273,85233,2
37274,85015,0
37275,85013,0
37278,85373,2.5
37279,85704,2
37280,85364,4
37281,85051,2
37282,85705,3
37283,85016,2.5
37285,85032,2
37286,85258,3.5
37288,85705,2.5
37290,86040,3
37291,85260,4
37292,86442,3
37294,85546,3.5
37295,85283,4
37298,85364,3
37299,85712,2.5
37321,86001,3
37322,85712,5
37323,85304,4.5
37324,85711,3.5
37325,85364,0
37401,85203,0
37402,86404,2
37403,85282,3
37404,85281,0
37405,85029,3.5
37406,85225,0
37407,85210,0
37408,85260,5
37409,85028,0
37410,85018,3
37411,85023,4
37412,86426,3
37413,85213,0
37414,85251,5
37415,85050,3
37416,85635,3
37417,85037,3
37418,85016,3
37419,85224,2
37420,85712,3.5
37421,85283,3
37422,85286,2
37423,85254,0
37424,85029,3
37425,85201,3.5
37426,85210,2
37427,85253,0
37428,85539,0
37429,85201,5
37430,85032,0
37431,85338,0
37432,85712,0
37433,85258,0
37434,85202,0
37435,85020,0
37436,85260,0
37437,85381,0
37438,85032,0
37439,85711,0
37440,85250,0
37441,85378,0
37442,85378,0
37443,85715,0
47000,72204,0
47001,72205,3.5
47004,72451,2.5
47006,71913,4
47008,71654,0
47009,72901,2.5
47010,72956,3
47011,72903,3.5
47016,72653,3
47020,72764,4
47021,71730,3
47024,72576,3
47025,71701,5
47028,72212,2.5
47029,72211,3.5
47030,71611,2
47031,72454,3.5
47032,72801,3
47033,72401,3.5
47034,72902,4
47035,72143,4
47038,72903,3.5
47043,72022,3
47044,72401,3
47046,72519,3.5
47048,72396,3
47052,72112,4.5
47056,71832,3
47057,72143,2.5
47070,72205,2.5
47080,72501,4
47081,71753,3
47082,71655,3
47083,72034,4.5
47087,72601,3
47088,72101,4.5
47090,72210,4
47093,71603,3
47096,72833,2.5
47097,72543,4.5
47099,72110,4.5
47100,72042,3
47102,72703,3
47103,72104,4
47104,71653,3.5
47105,71913,3.5
47108,72560,3
47109,71635,2
47110,72616,3
47112,72342,3.5
47114,71854,3.5
47115,72576,3.5
47116,72316,3.5
47117,72076,3
47118,72501,3
47122,72301,2.5
